date,cash,shares,close,equity
2024-01-02,10000.0,0,97.3,10000.0
2024-01-03,10000.0,0,97.56,10000.0
2024-01-04,10000.0,0,97.82,10000.0
2024-01-05,10000.0,0,98.08,10000.0
2024-01-08,10000.0,0,98.34,10000.0
2024-01-09,10000.0,0,98.6,10000.0
2024-01-10,10000.0,0,98.86,10000.0
2024-01-11,10000.0,0,99.12,10000.0
2024-01-12,10000.0,0,99.38,10000.0
2024-01-15,10000.0,0,99.64,10000.0
2024-01-16,10000.0,0,99.9,10000.0
2024-01-17,10000.0,0,100.16,10000.0
2024-01-18,10000.0,0,100.42,10000.0
2024-01-19,10000.0,0,100.68,10000.0
2024-01-22,10000.0,0,100.94,10000.0
2024-01-23,10000.0,0,101.2,10000.0
2024-01-24,10000.0,0,101.46,10000.0
2024-01-25,10000.0,0,101.72,10000.0
2024-01-26,10000.0,0,101.98,10000.0
2024-01-29,82.72,97,102.24,10000.0
2024-01-30,82.72,97,102.5,10025.22
2024-01-31,82.72,97,102.76,10050.44
2024-02-01,82.72,97,103.02,10075.66
2024-02-02,82.72,97,103.28,10100.88
2024-02-05,82.72,97,103.54,10126.1
2024-02-06,82.72,97,103.8,10151.32
2024-02-07,82.72,97,104.06,10176.54
2024-02-08,82.72,97,104.32,10201.76
2024-02-09,82.72,97,104.58,10226.98
2024-02-12,82.72,97,104.84,10252.2
2024-02-13,82.72,97,105.1,10277.42
2024-02-14,82.72,97,99.78,9761.38
2024-02-15,82.72,97,100.04,9786.6
2024-02-16,9811.82,0,100.3,9811.82
2024-02-19,9811.82,0,100.56,9811.82
2024-02-20,9811.82,0,100.82,9811.82
2024-02-21,9811.82,0,101.08,9811.82
2024-02-22,9811.82,0,101.34,9811.82
2024-02-23,9811.82,0,101.6,9811.82
2024-02-26,9811.82,0,101.86,9811.82
2024-02-27,9811.82,0,102.12,9811.82
2024-02-28,9811.82,0,102.38,9811.82
2024-02-29,9811.82,0,102.64,9811.82
